t,map2base_x,map2base_y,map2base_yaw,map2odom_x,map2odom_y,map2odom_yaw,odom2base_x,odom2base_y,odom2base_yaw
6.3249,0.058082,0.023136,-0.065300,0.169292,0.055258,-0.112759,-0.104372,-0.043477,0.049016
6.3581,0.059765,0.017966,-0.064192,0.169323,0.055201,-0.112752,-0.104395,-0.043306,0.049047
6.3918,0.059765,0.017966,-0.064192,0.169265,0.055468,-0.112869,-0.104395,-0.043306,0.049047
6.4248,0.059765,0.017966,-0.064192,0.169270,0.055411,-0.112849,-0.104395,-0.043306,0.049047
6.4581,0.058911,0.016886,-0.063646,0.168530,0.055150,-0.113136,-0.104617,-0.043311,0.048975
6.4915,0.059035,0.017168,-0.063758,0.168497,0.055119,-0.113122,-0.104461,-0.043239,0.048967
6.5248,0.059035,0.017168,-0.063758,0.168650,0.055487,-0.113131,-0.104461,-0.043239,0.048967
6.5581,0.059035,0.017168,-0.063758,0.168641,0.055500,-0.113146,-0.104461,-0.043239,0.048967
6.5914,0.058249,0.016879,-0.064058,0.167977,0.055163,-0.113308,-0.104506,-0.043246,0.048937
6.6247,0.058375,0.017063,-0.063927,0.169437,0.055877,-0.113021,-0.104488,-0.043408,0.049068
6.6581,0.058375,0.017063,-0.063927,0.169426,0.055843,-0.112998,-0.104488,-0.043408,0.049068
6.6914,0.058375,0.017063,-0.063927,0.169415,0.055808,-0.112976,-0.104488,-0.043408,0.049068
6.7247,0.057868,0.016723,-0.064139,0.168895,0.055245,-0.113241,-0.104305,-0.043433,0.049036
6.7581,0.059229,0.017313,-0.063802,0.168915,0.055215,-0.113231,-0.104410,-0.043502,0.049055
6.7914,0.059229,0.017313,-0.063802,0.169168,0.055875,-0.113262,-0.104410,-0.043502,0.049055
6.8247,0.059229,0.017313,-0.063802,0.169180,0.055826,-0.113238,-0.104410,-0.043502,0.049055
6.8581,0.058788,0.016942,-0.064130,0.169484,0.056138,-0.113522,-0.104340,-0.043279,0.048971
6.8914,0.058788,0.016942,-0.064130,0.169509,0.056152,-0.113536,-0.104340,-0.043279,0.048971
6.9247,0.058966,0.017437,-0.064076,0.169365,0.056861,-0.113399,-0.104421,-0.043410,0.049044
6.9581,0.058966,0.017437,-0.064076,0.169348,0.056867,-0.113398,-0.104421,-0.043410,0.049044
